series,scenario,replication,run_id,source,metric,method,true_change_step,first_signal_step,signal_count,detection_delay,is_false_alarm,mu_hat,sigma_hat,baseline_size,n_phase2_steps,n_total_observations,degradation,deg_value,deg_start,seed
series1_arl0,clean_baseline_50,1,series1_arl0__clean_baseline_50__rep01,exp_source,mean,shewhart,,40,9,40,True,100.19406238079803,1.000662549617262,50,1500,31000,none,0,,1
series1_arl0,clean_baseline_50,1,series1_arl0__clean_baseline_50__rep01,exp_source,mean,cusum,,126,15,126,True,100.19406238079803,1.000662549617262,50,1500,31000,none,0,,1
series1_arl0,clean_baseline_50,1,series1_arl0__clean_baseline_50__rep01,exp_source,mean,ewma,,126,30,126,True,100.19406238079803,1.000662549617262,50,1500,31000,none,0,,1
series1_arl0,clean_baseline_50,2,series1_arl0__clean_baseline_50__rep02,exp_source,mean,shewhart,,819,7,819,True,99.76075032402412,1.041500610953222,50,1500,31000,none,0,,2
series1_arl0,clean_baseline_50,2,series1_arl0__clean_baseline_50__rep02,exp_source,mean,cusum,,40,11,40,True,99.76075032402412,1.041500610953222,50,1500,31000,none,0,,2
series1_arl0,clean_baseline_50,2,series1_arl0__clean_baseline_50__rep02,exp_source,mean,ewma,,40,16,40,True,99.76075032402412,1.041500610953222,50,1500,31000,none,0,,2
series1_arl0,clean_baseline_50,3,series1_arl0__clean_baseline_50__rep03,exp_source,mean,shewhart,,132,5,132,True,100.08642166490421,1.156737179552658,50,1500,31000,none,0,,3
series1_arl0,clean_baseline_50,3,series1_arl0__clean_baseline_50__rep03,exp_source,mean,cusum,,189,4,189,True,100.08642166490421,1.156737179552658,50,1500,31000,none,0,,3
series1_arl0,clean_baseline_50,3,series1_arl0__clean_baseline_50__rep03,exp_source,mean,ewma,,187,7,187,True,100.08642166490421,1.156737179552658,50,1500,31000,none,0,,3
series1_arl0,clean_baseline_50,4,series1_arl0__clean_baseline_50__rep04,exp_source,mean,shewhart,,348,6,348,True,100.25764808942657,1.0523812688143088,50,1500,31000,none,0,,4
series1_arl0,clean_baseline_50,4,series1_arl0__clean_baseline_50__rep04,exp_source,mean,cusum,,52,14,52,True,100.25764808942657,1.0523812688143088,50,1500,31000,none,0,,4
series1_arl0,clean_baseline_50,4,series1_arl0__clean_baseline_50__rep04,exp_source,mean,ewma,,52,17,52,True,100.25764808942657,1.0523812688143088,50,1500,31000,none,0,,4
series1_arl0,clean_baseline_50,5,series1_arl0__clean_baseline_50__rep05,exp_source,mean,shewhart,,265,9,265,True,100.16638513946427,1.0254371841538128,50,1500,31000,none,0,,5
series1_arl0,clean_baseline_50,5,series1_arl0__clean_baseline_50__rep05,exp_source,mean,cusum,,28,12,28,True,100.16638513946427,1.0254371841538128,50,1500,31000,none,0,,5
series1_arl0,clean_baseline_50,5,series1_arl0__clean_baseline_50__rep05,exp_source,mean,ewma,,28,17,28,True,100.16638513946427,1.0254371841538128,50,1500,31000,none,0,,5
series1_arl0,clean_baseline_50,6,series1_arl0__clean_baseline_50__rep06,exp_source,mean,shewhart,,340,8,340,True,99.95571675283301,0.9776796363551767,50,1500,31000,none,0,,6
series1_arl0,clean_baseline_50,6,series1_arl0__clean_baseline_50__rep06,exp_source,mean,cusum,,141,6,141,True,99.95571675283301,0.9776796363551767,50,1500,31000,none,0,,6
series1_arl0,clean_baseline_50,6,series1_arl0__clean_baseline_50__rep06,exp_source,mean,ewma,,141,11,141,True,99.95571675283301,0.9776796363551767,50,1500,31000,none,0,,6
series1_arl0,clean_baseline_50,7,series1_arl0__clean_baseline_50__rep07,exp_source,mean,shewhart,,115,6,115,True,99.85762486714415,1.0259382870282268,50,1500,31000,none,0,,7
series1_arl0,clean_baseline_50,7,series1_arl0__clean_baseline_50__rep07,exp_source,mean,cusum,,79,8,79,True,99.85762486714415,1.0259382870282268,50,1500,31000,none,0,,7
