series,scenario,replication,run_id,source,metric,method,true_change_step,first_signal_step,signal_count,detection_delay,is_false_alarm,mu_hat,sigma_hat,baseline_size,n_phase2_steps,n_total_observations,degradation,deg_value,deg_start,seed
series4_boundaries,baseline_20,1,series4_boundaries__baseline_20__rep01,exp_source,mean,shewhart,,70,31,70,True,100.25354631911516,0.804850543563815,20,1000,20400,none,0,,1
series4_boundaries,baseline_20,1,series4_boundaries__baseline_20__rep01,exp_source,mean,cusum,,61,36,61,True,100.25354631911516,0.804850543563815,20,1000,20400,none,0,,1
series4_boundaries,baseline_20,1,series4_boundaries__baseline_20__rep01,exp_source,mean,ewma,,61,69,61,True,100.25354631911516,0.804850543563815,20,1000,20400,none,0,,1
series4_boundaries,baseline_20,2,series4_boundaries__baseline_20__rep02,exp_source,mean,shewhart,,886.0,1,886.0,True,100.09394307466818,1.313657893395176,20,1000,20400,none,0,,2
series4_boundaries,baseline_20,2,series4_boundaries__baseline_20__rep02,exp_source,mean,cusum,,,0,,False,100.09394307466818,1.313657893395176,20,1000,20400,none,0,,2
series4_boundaries,baseline_20,2,series4_boundaries__baseline_20__rep02,exp_source,mean,ewma,,,0,,False,100.09394307466818,1.313657893395176,20,1000,20400,none,0,,2
series4_boundaries,baseline_20,3,series4_boundaries__baseline_20__rep03,exp_source,mean,shewhart,,706.0,2,706.0,True,99.95992596744614,1.3420191246552473,20,1000,20400,none,0,,3
series4_boundaries,baseline_20,3,series4_boundaries__baseline_20__rep03,exp_source,mean,cusum,,,0,,False,99.95992596744614,1.3420191246552473,20,1000,20400,none,0,,3
series4_boundaries,baseline_20,3,series4_boundaries__baseline_20__rep03,exp_source,mean,ewma,,,0,,False,99.95992596744614,1.3420191246552473,20,1000,20400,none,0,,3
series4_boundaries,baseline_20,4,series4_boundaries__baseline_20__rep04,exp_source,mean,shewhart,,378,2,378,True,100.4028910134411,1.1168349575694283,20,1000,20400,none,0,,4
series4_boundaries,baseline_20,4,series4_boundaries__baseline_20__rep04,exp_source,mean,cusum,,82,16,82,True,100.4028910134411,1.1168349575694283,20,1000,20400,none,0,,4
series4_boundaries,baseline_20,4,series4_boundaries__baseline_20__rep04,exp_source,mean,ewma,,81,21,81,True,100.4028910134411,1.1168349575694283,20,1000,20400,none,0,,4
series4_boundaries,baseline_20,5,series4_boundaries__baseline_20__rep05,exp_source,mean,shewhart,,58,10,58,True,100.1767184385129,0.9566027716207287,20,1000,20400,none,0,,5
series4_boundaries,baseline_20,5,series4_boundaries__baseline_20__rep05,exp_source,mean,cusum,,58,16,58,True,100.1767184385129,0.9566027716207287,20,1000,20400,none,0,,5
series4_boundaries,baseline_20,5,series4_boundaries__baseline_20__rep05,exp_source,mean,ewma,,58,20,58,True,100.1767184385129,0.9566027716207287,20,1000,20400,none,0,,5
series4_boundaries,baseline_20,6,series4_boundaries__baseline_20__rep06,exp_source,mean,shewhart,,370,4,370,True,100.20341948627872,1.0172848011665714,20,1000,20400,none,0,,6
series4_boundaries,baseline_20,6,series4_boundaries__baseline_20__rep06,exp_source,mean,cusum,,432,12,432,True,100.20341948627872,1.0172848011665714,20,1000,20400,none,0,,6
series4_boundaries,baseline_20,6,series4_boundaries__baseline_20__rep06,exp_source,mean,ewma,,432,15,432,True,100.20341948627872,1.0172848011665714,20,1000,20400,none,0,,6
series4_boundaries,baseline_20,7,series4_boundaries__baseline_20__rep07,exp_source,mean,shewhart,,10,53,10,True,99.74973227636389,0.7274150636164907,20,1000,20400,none,0,,7
series4_boundaries,baseline_20,7,series4_boundaries__baseline_20__rep07,exp_source,mean,cusum,,10,54,10,True,99.74973227636389,0.7274150636164907,20,1000,20400,none,0,,7
series4_boundaries,baseline_20,7,series4_boundaries__baseline_20__rep07,exp_source,mean,ewma,,29,104,29,True,99.74973227636389,0.7274150636164907,20,1000,20400,none,0,,7
series4_boundaries,baseline_20,8,series4_boundaries__baseline_20__rep08,exp_source,mean,shewhart,,109,4,109,True,99.96690358404159,1.047754889729659,20,1000,20400,none,0,,8
series4_boundaries,baseline_20,8,series4_boundaries__baseline_20__rep08,exp_source,mean,cusum,,46,3,46,True,99.96690358404159,1.047754889729659,20,1000,20400,none,0,,8
